Name;Latitude;Longitude;Remark;;;
AMDOL ;142112N;0262130W;FIR BOUNDARY;;;
BAMUX ;231318N;0263229W;FIR BOUNDARY;;;
BIKOM ;154330N;0314818W;FIR BOUNDARY;;;
BORTA ;135514N;0204345W;FIR BOUNDARY;;;
BOTNO ;133000N;0231430W;FIR BOUNDARY;;;
BULVO ;140228N;0243012W;TMA;;;
DIMKI ;175320N;0221453W;TMA;;;
EDUMO ;225454N;0233606W;FIR BOUNDARY;;;
ERNEK ;202542N;0314314W;FIR BOUNDARY;;;
EVKAS ;174003N;0260116W;TMA;;;
GAMBA ;185706N;0260342W;TMA;;;
GARPO ;161630N;0341000W;FIR BOUNDARY;;;
GUNET ;193542N;0194406W;FIR BOUNDARY;;;
ILGAS ;184000N;0200000W;FIR BOUNDARY;;;
IPERA ;202154N;0204200W;FIR BOUNDARY;;;
IRANI ;174306N;0241812W;TMA;;;
KEGIL;180928N;0245513W;TMA;;;
KEPAS ;144822N;0282840W;FIR BOUNDARY;;;
LININ ;180905N;0244524W;TMA;;;
LUMPO ;154048N;0200000W;FIR BOUNDARY;;;
MELUT ;160755N;0261600W;TMA;;;
MOGSA ;144118N;0201241W;FIR BOUNDARY;;;
MOPAK ;180720N;0240250W;TMA;;;
NATAS ;160024N;0330000W;FIR BOUNDARY;;;
NEMDO ;180557N;0233154W;TMA;;;
OBOMO ;224315N;0273020W;FIR BOUNDARY;;;
ODMEN ;135354N;0242034W;TMA;;;
ONOBI ;134136N;0242630W;FIR BOUNDARY;;;
OPADU ;155618N;0215212W;TMA;;;
PINPO ;173905N;0215618W;TMA;;;
PIXED ;240000N;0250000W;FIR BOUNDARY;;;
POLMO;161629N;0213834W;TMA;;;
POMAT ;135236N;0243548W;FIR BOUNDARY;;;
RANUR ;152724N;0254132W;TMA;;;
RUKAV ;221037N;0283217W;FIR BOUNDARY;;;
SEPOM ;172000N;0200000W;FIR BOUNDARY;;;
SONVA;145014N;0220438W;TMA;;;
TARIM ;151024N;0293230W;FIR BOUNDARY;;;
TEGTO ;205737N;0304617W;FIR BOUNDARY;;;
TENPA ;212100N;0215824W;FIR BOUNDARY;;;
TOBIK;155142N;0214606W;TMA;;;
TUTLO ;170000N;0373000W;FIR BOUNDARY;;;
ULTEM ;212946N;0294800W;FIR BOUNDARY;;;
UNAMA ;161712N;0214012W;TMA;;;
VEPOP ;192203N;0333403W;FIR BOUNDARY;;;
VONTO;142802N;0221134W;TMA;;;
XIBOT ;181515N;0352648W;FIR BOUNDARY;;;
XIGLU ;233600N;0242500W;FIR BOUNDARY;;;
XUVIT ;152724N;0304136W;FIR BOUNDARY;;;
